id,name,constellation,coord,glon,glat,gal_coord,Vmag,n_Vmag,u_Vmag,spectral_type,spectral_type_full,n_spectral_type,RI,n_RI,BV,u_BV,UB,u_UB,RadVel,RotVel,Parallax,n_Parallax,g_coord_l_rad,g_coord_b_rad,coord_ra_deg,coord_dec_deg
   1,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (1.29125, 45.22916667)>",114.44,-16.88,"<SkyCoord (Galactic): (l, b) in deg
    (114.44, -16.88)>",6.7, , ,A,A1Vn, ,, ,0.07, ,0.08, ,-18.0,195.0,, ,1.9973547959823108,-0.2946115777366428,1.2912499999999998,45.22916666666667
   2,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (1.26583333, -0.50305556)>",98.33,-61.14,"<SkyCoord (Galactic): (l, b) in deg
    (98.33, -61.14)>",6.29, , ,G,gG9, ,, ,1.1, ,1.02, ,14.0,,, ,1.7161822534860243,-1.067094304669333,1.2658333333333331,-0.5030555555555556
   3, 33    Psc,Psc,"<SkyCoord (ICRS): (ra, dec) in deg
    (1.33375, -5.7075)>",93.75,-65.93,"<SkyCoord (Galactic): (l, b) in deg
    (93.75, -65.93)>",4.61, , ,K,K0IIIbCN-0.5, ,0.54, ,1.04, ,0.89, ,-6.0,17.0,0.014, ,1.6362461737446838,-1.1506955758398616,1.3337499999999998,-5.7075000000000005
   4, 86    Peg,Peg,"<SkyCoord (ICRS): (ra, dec) in deg
    (1.425, 13.39611111)>",106.19,-47.98,"<SkyCoord (Galactic): (l, b) in deg
    (106.19, -47.98)>",5.51, , ,G,G5III, ,, ,0.9, ,, ,-2.0,,, ,1.8533651326927785,-0.8374089751068793,1.4249999999999998,13.39611111111111
   5,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (1.56666667, 58.43666667)>",117.03,-3.92,"<SkyCoord (Galactic): (l, b) in deg
    (117.03, -3.92)>",5.96, , ,G,G5V, ,, ,0.67, ,0.2, ,-12.0,,0.047, ,2.042558823608964,-0.06841690667817772,1.5666666666666667,58.43666666666666
   6,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (1.57916667, -49.075)>",321.61,-66.38,"<SkyCoord (Galactic): (l, b) in deg
    (321.61, -66.38)>",5.7, , ,G,G1IV, ,, ,0.52, ,0.05, ,3.0,,0.05, ,-0.6700318998406228,-1.1585495574738358,1.5791666666666666,-49.075
   7, 10    Cas,Cas,"<SkyCoord (ICRS): (ra, dec) in deg
    (1.61041667, 64.19611111)>",118.06,1.75,"<SkyCoord (Galactic): (l, b) in deg
    (118.06, 1.75)>",5.59, , ,B,B9III,e,, ,-0.03, ,-0.19, ,-0.0,153.0,, ,2.0605357149045056,0.030543261909900768,1.6104166666666666,64.19611111111111
   8,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (1.65333333, 29.02138889)>",111.26,-32.83,"<SkyCoord (Galactic): (l, b) in deg
    (111.26, -32.83)>",6.13, , ,K,K0V, ,, ,0.75, ,0.33, ,-8.0,,0.067, ,1.9418533257688912,-0.5729915934297384,1.653333333333333,29.02138888888889
   9,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (1.70875, -23.1075)>",52.21,-79.14,"<SkyCoord (Galactic): (l, b) in deg
    (52.21, -79.14)>",6.18, , ,A,A7V, ,, ,0.38, ,0.05, ,3.0,,, ,0.9112364024662395,-1.3812535700283124,1.7087499999999998,-23.1075
  10,          ,,"<SkyCoord (ICRS): (ra, dec) in deg
    (1.82583333, -17.38638889)>",74.36,-75.9,"<SkyCoord (Galactic): (l, b) in deg
    (74.36, -75.9)>",6.19, , ,A,A6Vn, ,, ,0.14, ,0.1, ,-9.0,195.0,, ,1.2978268317829835,-1.3247049022636963,1.825833333333333,-17.386388888888888
